fullName,gender,dob,age,contactNumber,email,address,city,state,pin,employmentType,employerName,netMonthlyIncome,loanType,loanAmount,loanTenure,hasIdentityProof,hasAddressProof,hasBankStatement,hasSalaryProof,declaration,businessName,businessType,businessRegistrationNumber,businessStartDate,businessIncome,businessExpenses,businessAssets,businessLiabilities,loanApproved
April Castro,other,1973-02-23,34,205-474-4374x03739,joneswesley@example.net,208 Hayden Knoll Apt. 739,Josephberg,Idaho,18438,salaried,Williams LLC,22485.80196982408,business,81982.18906052496,33,False,False,False,True,True,"Torres, Whitaker and Gomez",partnership,2670c84b-776a-458f-b3be-a27d66ba1876,2020-02-15,10965.0985740967,18462.85655659181,34923.74075493058,9228.2959262717,False
Jim Walsh,male,1971-10-24,40,623-451-0874,luismendez@example.net,9581 Norman Plain Apt. 176,New Jonathan,New Jersey,00901,salaried,"Brewer, Walker and Stanley",4738.647675942424,business,78239.0916372478,25,True,False,False,False,True,"Pierce, Higgins and Douglas",partnership,888cf804-8566-46c1-bd69-5a45416b4df3,2011-03-24,13044.927797354863,8003.0184954440565,20530.73842312945,6097.924545764848,False
Andrew Franklin,other,1993-08-19,39,(736)909-7250x010,haustin@example.com,6031 Alisha Square Suite 169,Alexbury,Oregon,21603,salaried,"Benson, Smith and Barnes",5195.603191446768,business,67955.66148017277,19,False,True,True,True,True,Smith Ltd,partnership,f13b0eee-b093-4de4-a9f0-f743c8543e8a,2015-02-20,7985.915848604106,3243.949496209083,29492.220360803225,8890.930874256212,True
Christina Franklin,other,1979-03-15,52,(661)947-9012,eschmidt@example.com,788 Jean Terrace Suite 469,North Jackietown,Arizona,34392,salaried,Williamson PLC,24018.93909606074,business,81083.60993376556,23,False,True,True,True,True,Cohen Ltd,partnership,d76e27e7-0b20-4d1e-ace6-aaf175eab03c,2005-03-29,16253.144065485816,15512.77920670516,41867.377749301275,6801.662040965456,False
Nicole Webb,male,1984-10-04,32,5616936567,tina76@example.com,7002 Amber Neck,Johnsonchester,Ohio,95818,self-employed,"Bowman, Lee and Fernandez",16819.88405488352,business,76618.32300279611,31,True,False,True,True,True,"Schneider, Burton and Todd",partnership,3bc834fe-c585-4bf4-a081-e2c859648083,2008-04-12,26790.893682231937,15548.53238086285,17980.35431440447,1148.8801792172392,True
Wendy Austin,male,1995-07-23,45,+1-224-785-9170,uhernandez@example.com,185 Taylor Underpass,Gibbshaven,Pennsylvania,75783,self-employed,Copeland-Richardson,35265.901143564246,business,16424.02449158573,30,False,False,True,False,True,"Villa, Snyder and Gutierrez",partnership,912730fb-fa7f-4b5d-a42f-9b909f995fea,2000-04-02,25302.21771345918,18761.841072375806,47487.88072604718,6135.755266698102,True
Monique Harris,male,2006-05-09,21,544.897.5668x4847,christopher04@example.org,49186 Adam Junctions,Lake Nathanburgh,Iowa,36811,business owner,Ball-Wagner,46737.185776463935,business,10002.705671968373,24,False,True,False,False,True,Kim-Pollard,corporation,772b9044-214e-4b60-a140-b86f9fb7e0c7,2016-02-02,49790.656913886065,4247.684166350334,45135.399944930265,2981.5190004933474,True
Wendy Kline,male,1962-12-29,18,3403739726,qcunningham@example.org,5068 Ryan Course Suite 308,Pruittbury,Ohio,93217,salaried,Martinez-Greene,45380.34412030738,business,80429.14838972445,16,False,True,False,True,True,Pena Group,partnership,1dcab128-e30f-42eb-bf1b-1975423d4906,2015-08-05,43903.79051070396,10167.621843854962,46787.71681608121,8989.416498950372,True
Rebecca Fischer,male,1990-12-06,26,8623040302,dortiz@example.net,550 James Knoll Suite 965,Williamview,Michigan,04214,salaried,"Melton, Anderson and Mills",35937.47321170469,business,86584.70211997708,34,True,True,False,False,True,Butler LLC,sole proprietorship,cd54521e-3b9f-4405-be89-203c1ba13328,2005-02-18,29867.2870307428,19758.774190563254,31129.6029471183,5441.89093762294,False
Cynthia Martin,other,1972-12-14,49,(891)813-0656x469,turnercatherine@example.org,81676 Glenda Inlet Suite 796,Lake Michaelberg,New Hampshire,44248,business owner,Stokes-Smith,31507.512434444972,business,89916.29663913416,29,False,True,True,True,True,Andrade-Willis,partnership,bf88ac90-e4be-4f06-b61f-c19e201003ea,2010-12-20,31096.70609726576,13010.62056712189,26540.46339625869,8961.312638823263,False
