fullName,gender,dob,age,contactNumber,email,address,city,state,pin,employmentType,employerName,netMonthlyIncome,loanType,loanAmount,loanTenure,hasIdentityProof,hasAddressProof,hasBankStatement,hasSalaryProof,declaration,travelDestination,travelPurpose,travelCost,departureDate,returnDate,loanApproved
Richard Koch,male,1955-06-22,20,816-856-6131x0479,cpatel@example.org,147 Heather Walks,South Anita,South Dakota,62414,salaried,Molina and Sons,31511.05997794745,travel,6904.673704071183,5,True,True,True,False,True,Cyprus,business trip,3802.363097191,2024-06-22,2024-08-26,False
Michael Dixon,male,1995-12-03,50,(876)702-6726x913,lewisbarbara@example.com,1965 Lydia Centers,West Miguel,Connecticut,08065,self-employed,Trujillo-Collins,34198.41411878742,travel,7191.479072178596,3,False,True,False,True,True,Germany,business trip,7353.61101171417,2024-07-18,2024-07-30,False
Elizabeth Stevens,male,1972-07-08,27,001-389-692-5830,edwinjones@example.org,88310 Garcia Forges Suite 930,Barronville,Tennessee,28241,salaried,"Bishop, Williams and Boyd",20909.61539819327,travel,15092.83562967047,8,True,True,True,False,True,Saint Martin,business trip,3597.5791047926405,2024-05-26,2024-09-15,False
Meagan Woods,female,1992-02-24,70,8983722512,amy70@example.com,3374 Lozano Flat Apt. 281,Scottberg,Mississippi,97127,salaried,Reynolds LLC,15491.227553160576,travel,3141.7318523658823,11,False,True,True,False,True,French Guiana,vacation,8157.379783766004,2024-07-04,2024-10-01,False
Sonya Morales,female,1963-09-17,44,(298)767-0095x610,jeffery91@example.com,08908 William Springs Apt. 101,Port Jessica,Alabama,16922,business owner,Fischer PLC,39173.140591662785,travel,8724.972251742522,5,False,False,False,True,True,Belgium,medical tourism,1876.1888651087038,2024-05-26,2024-09-17,True
Michael Jordan,female,2003-09-28,54,871-363-2790x47986,john80@example.com,950 Martin Expressway,Crystalmouth,Iowa,11899,salaried,Graham-Franklin,23239.14190940686,travel,7502.681407493182,8,False,False,True,True,True,San Marino,business trip,9766.904232548713,2024-06-17,2024-08-17,False
Kim Vazquez,male,2005-10-16,56,001-278-562-9376x4171,patrick02@example.com,757 Teresa Stravenue,Freemanton,Louisiana,28433,self-employed,Ferguson-Morales,7818.6858371017415,travel,11756.841312722565,4,True,False,True,True,True,Italy,vacation,5856.266509978844,2024-07-15,2024-09-03,True
Lauren Fleming,other,1972-11-08,59,(439)827-6076,karen56@example.org,3781 David Hollow,Johnland,Minnesota,23556,salaried,Edwards-Perry,5346.073289563898,travel,6851.060245956167,7,False,False,True,True,True,Grenada,medical tourism,8551.678487834837,2024-07-15,2024-08-09,True
Megan Dean,male,2006-02-08,34,8458216038,rrose@example.net,215 Howard Extensions,Austinland,Kentucky,83085,business owner,Jones-Ford,21969.406584139582,travel,7229.049871330411,12,True,False,True,True,True,Russian Federation,business trip,2902.4215893798546,2024-05-31,2024-08-03,False
Bryan Holland,male,1979-11-29,38,406.341.4303,destinymartin@example.org,960 Reese Burgs,Lake Donald,North Dakota,01275,salaried,Smith PLC,44439.21614427148,travel,17291.298588758757,4,False,True,False,True,True,Cape Verde,vacation,1380.564994685855,2024-06-19,2024-08-23,False
Tina Buchanan,female,1986-09-21,44,245.753.7302x8909,phillip80@example.org,9464 Stewart Alley Apt. 243,West Katrina,Rhode Island,35638,self-employed,"Peters, Strickland and Stark",24861.508479816443,travel,16385.737106838857,12,False,True,False,False,True,Qatar,vacation,5788.332361554523,2024-07-18,2024-08-11,False
Jeffrey Gamble,female,1998-01-24,65,791.254.1623x92110,david37@example.org,59867 Figueroa Fields Apt. 526,Nancyport,Kansas,98986,business owner,Hernandez-Campos,21318.66242444102,travel,2110.1752630300903,9,True,False,True,False,True,New Zealand,business trip,8586.829808000592,2024-06-19,2024-09-21,True
Adam Mills,other,1966-01-29,70,+1-802-597-8062,nicolechaney@example.com,72544 Timothy Course,Chadhaven,South Carolina,32631,salaried,"Harrell, Salazar and Rodriguez",23364.357899512204,travel,13419.917440448397,10,True,True,False,False,True,Mali,medical tourism,3666.0504365681822,2024-07-10,2024-09-16,True
Katherine Cobb,other,1993-04-03,47,001-471-841-4483x510,xpaul@example.com,3256 Bruce Plains,Cortezville,Louisiana,66101,business owner,Sparks and Sons,4305.61410157244,travel,13451.180136107732,8,True,True,True,False,True,Argentina,medical tourism,6636.1947015493615,2024-07-24,2024-09-11,False
Anita Church,female,1998-09-02,18,3587593175,vsmith@example.net,2755 Allison Hollow,Howardside,California,50995,self-employed,"Lopez, Holloway and Ross",10512.501218793062,travel,17641.459564277284,9,True,False,True,False,True,Tuvalu,business trip,6695.487445772016,2024-07-07,2024-08-23,False
